zdanie,spójnik,typ,sent_id
"Z tej pazerności chyba zapomniał, że zgnilizna jest zaraźliwa.","[',']",['37'],NKJP_1M_2002000131/morph_2-p/morph_2.31-s
"Przygryzając wargi z bezsilnej złości, Chmura wołał Adasia.","[',']",['30'],NKJP_1M_2002000131/morph_2-p/morph_2.64-s
"Z komunikatu wynika, że taka decyzja jest wynikiem zwiększającej się ilości zdiagnozowanych przypadków BSE w krajach ościennych.","[',']",['15'],NKJP_1M_1305000001840/morph_1-p/morph_1.19-s
"Podczas próby rozbrojenia ładunku z jednego ze sklepów IKEI, rannych zostało dwóch saperów.","[',']",['110'],NKJP_1M_1305000000500/morph_1-p/morph_1.57-s
"Odnotowuję to, żeby złagodzić wrażenie mojej antyfrancuskości.","[',']",['12'],NKJP_1M_0402000008/morph_6-p/morph_6.9-s
"Z szacunkowych danych wynika, że stopa bezrobocia w kwietniu wyniosła 13,6 proc.","[',']",['20'],NKJP_1M_1305000001393/morph_1-p/morph_1.16-s
"Aby cały plan dokonywania zmiany był jaśniejszy, posłużę się ilustracją.","[',']",['116'],NKJP_1M_3302000005/morph_4-p/morph_4.12-s
"Można powiedzieć, że teraz stoisz twarzą w twarz z Twoim upokorzeniem.","[',']",['13'],NKJP_1M_3302000005/morph_6-p/morph_6.21-s
"Polka zginęła od strzału z małokalibrowego pistoletu, który sprawca przystawił jej do głowy.","[',']",['30'],NKJP_1M_1305000000777/morph_1-p/morph_1.15-s
"Szef ""Forum"" Tadeusz Gawin powiedział w piątek w południe, że komitet nie podpisał żadnego porozumienia.","[',']",['55'],NKJP_1M_1305000001001/morph_1-p/morph_1.19-s
"Patrzę na drzwi, bo ktoś idzie po schodach.","[',']",['22'],NKJP_1M_1202000010/morph_16-p/morph_16.33-s
"Ażeby takim przykrym kolizyom zaradzić, puszczamy w świat ten oto podręcznik.","[',']",['43'],NKJP_1M_1202000010/morph_31-p/morph_31.13-s
"Führer oświadczył Mussoliniemu bez ogródek, że tak dalej być nie może.","[',']",['23'],NKJP_1M_1202000010/morph_55-p/morph_55.13-s
"Niektórzy twierdzą, że patrząc na nich można to zauważyć...","[',']",['12'],NKJP_1M_1202000010/morph_45-p/morph_45.64-s
"Posiadacze fatalnych brodzików kąpią się z zachowaniem wszelkiej ostrożności, używając wody bardziej skąpo niż szczęśliwi posiadacze wanien.","[',']",['59'],NKJP_1M_1202000010/morph_45-p/morph_45.51-s
Miejscowy hydraulik ma więc duże wzięcie.,['więc'],['14'],NKJP_1M_1202000010/morph_45-p/morph_45.7-s
"Jeśli w odpowiedzi na pytania A wybierzesz zamiast jednego dwa portrety, spróbuj najpierw zdecydować się tylko na jeden.","[',']",['130'],NKJP_1M_1202000010/morph_9-p/morph_9.45-s
"Jeśli to jest absolutnie niemożliwe, znaczy to, że twój charakter jest czymś pośrednim pomiędzy dwoma opisanymi w rozwiązaniu przy odpowiednich numerach.","[',', ',']","['62', '283']",NKJP_1M_1202000010/morph_9-p/morph_9.69-s
"Akcję ratowania osób mieszkających nawet na najwyższych piętrach prowadzono by przy pomocy uczepionych do okien linek, na których lokatorzy byliby opuszczani w specjalnych workach.","[',']",['127'],NKJP_1M_1202000010/morph_66-p/morph_66.58-s
"Gdy we wspomnianych dwu pionach narożnikowych ktoś się kąpie, wówczas woda spływa w dół nawilgacając po drodze niżej położone mieszkania.","[',']",['210'],NKJP_1M_1202000010/morph_17-p/morph_17.58-s
"Dalej autor artykułu sugestywnie opisuje, jak na ów obszar spada potężna rakieta z głowicą wodorową, powodując kolosalną eksplozję.","[',', ',']","['24', '66']",NKJP_1M_1202000010/morph_79-p/morph_79.67-s
